"","dishID","group","targettempC","contaminant","treatment","rep","spp","year","Day","NfishRem","Nmort","Nexptloss"
"1","g-15C-0000ng-R1","g",15,"bif",0,1,"GS",2020,"Nday1",21,NA,NA
"2","g-15C-0000ng-R1","g",15,"bif",0,1,"GS",2020,"Nday2",21,0,0
"3","g-15C-0000ng-R1","g",15,"bif",0,1,"GS",2020,"Nday3",20,1,0
"4","g-15C-0000ng-R1","g",15,"bif",0,1,"GS",2020,"Nday4",20,0,0
"5","g-15C-0000ng-R1","g",15,"bif",0,1,"GS",2020,"Nday5",20,0,NA
"6","g-15C-0000ng-R2","g",15,"bif",0,2,"GS",2020,"Nday1",20,NA,NA
"7","g-15C-0000ng-R2","g",15,"bif",0,2,"GS",2020,"Nday2",20,0,0
"8","g-15C-0000ng-R2","g",15,"bif",0,2,"GS",2020,"Nday3",20,0,0
"9","g-15C-0000ng-R2","g",15,"bif",0,2,"GS",2020,"Nday4",20,0,0
"10","g-15C-0000ng-R2","g",15,"bif",0,2,"GS",2020,"Nday5",20,0,NA
"11","g-15C-0000ng-R3","g",15,"bif",0,3,"GS",2020,"Nday1",20,NA,NA
"12","g-15C-0000ng-R3","g",15,"bif",0,3,"GS",2020,"Nday2",20,0,0
"13","g-15C-0000ng-R3","g",15,"bif",0,3,"GS",2020,"Nday3",20,0,0
"14","g-15C-0000ng-R3","g",15,"bif",0,3,"GS",2020,"Nday4",19,1,0
"15","g-15C-0000ng-R3","g",15,"bif",0,3,"GS",2020,"Nday5",19,0,NA
"16","g-15C-0000ng-R4","g",15,"bif",0,4,"GS",2020,"Nday1",20,NA,NA
"17","g-15C-0000ng-R4","g",15,"bif",0,4,"GS",2020,"Nday2",20,0,0
"18","g-15C-0000ng-R4","g",15,"bif",0,4,"GS",2020,"Nday3",20,0,0
"19","g-15C-0000ng-R4","g",15,"bif",0,4,"GS",2020,"Nday4",19,1,0
"20","g-15C-0000ng-R4","g",15,"bif",0,4,"GS",2020,"Nday5",19,0,NA
"21","g-15C-0005ng-R1","g",15,"bif",5,1,"GS",2020,"Nday1",20,NA,NA
"22","g-15C-0005ng-R1","g",15,"bif",5,1,"GS",2020,"Nday2",20,0,0
"23","g-15C-0005ng-R1","g",15,"bif",5,1,"GS",2020,"Nday3",20,0,0
"24","g-15C-0005ng-R1","g",15,"bif",5,1,"GS",2020,"Nday4",20,0,0
"25","g-15C-0005ng-R1","g",15,"bif",5,1,"GS",2020,"Nday5",20,0,NA
"26","g-15C-0005ng-R2","g",15,"bif",5,2,"GS",2020,"Nday1",20,NA,NA
"27","g-15C-0005ng-R2","g",15,"bif",5,2,"GS",2020,"Nday2",20,0,0
"28","g-15C-0005ng-R2","g",15,"bif",5,2,"GS",2020,"Nday3",20,0,0
"29","g-15C-0005ng-R2","g",15,"bif",5,2,"GS",2020,"Nday4",20,0,0
"30","g-15C-0005ng-R2","g",15,"bif",5,2,"GS",2020,"Nday5",20,0,NA
"31","g-15C-0005ng-R3","g",15,"bif",5,3,"GS",2020,"Nday1",20,NA,NA
