"","spp","date","hatchdate","dph","staff","contaminant","treatment","group","targettempC","nomconclab","tank","fishID","nomconc","tl_mm","mass_g","Notes"
"1","GS","3/23/20","3/16/20",7,"SB,AES,VL","bif","I-15C-0000ng","I",15,"0000ng",NA,"R1",0,18.33,0.0437,""
"2","GS","3/23/20","3/16/20",7,"SB,AES,VL","bif","I-15C-0000ng","I",15,"0000ng",NA,"R2",0,19.23,0.0448,""
"3","GS","3/23/20","3/16/20",7,"SB,AES,VL","bif","I-15C-0000ng","I",15,"0000ng",NA,"R3",0,18.77,0.0437,""
"4","GS","3/23/20","3/16/20",7,"SB,AES,VL","bif","I-15C-0000ng","I",15,"0000ng",NA,"R4",0,18.4,0.0459,""
"5","GS","3/23/20","3/16/20",7,"SB,AES,VL","bif","I-15C-0000ng","I",15,"0000ng",NA,"R5",0,18.55,0.0428,""
"6","GS","3/23/20","3/16/20",7,"SB,AES,VL","bif","I-15C-0000ng","I",15,"0000ng",NA,"R6",0,17.89,0.0439,""
"7","GS","3/23/20","3/16/20",7,"SB,AES,VL","bif","I-15C-0000ng","I",15,"0000ng",NA,"R7",0,18.83,0.0403,"reference photo (1) euthanizes with tweezers prior to weighing and may have influenced weight"
"8","GS","3/23/20","3/16/20",7,"SB,AES,VL","bif","I-15C-0000ng","I",15,"0000ng",NA,"R8",0,18.96,0.0436,""
"9","GS","3/23/20","3/16/20",7,"SB,AES,VL","bif","I-15C-0005ng","I",15,"0005ng",NA,"R1",5,18.15,0.0566,"fluid filled sac around organs"
"10","GS","3/23/20","3/16/20",7,"SB,AES,VL","bif","I-15C-0005ng","I",15,"0005ng",NA,"R2",5,18.66,0.0465,""
"11","GS","3/23/20","3/16/20",7,"SB,AES,VL","bif","I-15C-0005ng","I",15,"0005ng",NA,"R3",5,18,0.0397,"Measured in cm"
"12","GS","3/23/20","3/16/20",7,"SB,AES,VL","bif","I-15C-0005ng","I",15,"0005ng",NA,"R4",5,17.55,0.0374,""
"13","GS","3/23/20","3/16/20",7,"SB,AES,VL","bif","I-15C-0005ng","I",15,"0005ng",NA,"R5",5,17.87,0.0493,"reference photos taken (2), vanessa called it 'bulbous'"
