"burstQual","BURST_NUMBER","ORIENTATION","START_TIME","X","GATE_ID","TIMING","POSITION","POSITION_DIFF","TIMING_DIFF","VELOCITY","VELOCITY_DIFF","ACCEL"
"okay","1","L",409.7,NA,"Gate0",0,0,NA,NA,NA,NA,NA
"okay","1","L",409.7,NA,"Gate1",0.041294,1.8,1.8,0.041294,43.5898677774011,NA,NA
"okay","1","L",409.7,NA,"Gate2",0.127264,5,3.2,0.08597,37.222286844248,-6.36758093315309,-74.0674762493089
"okay","1","L",409.7,NA,"Gate3",0.210876,6.8,1.8,0.083612,21.528010333445,-15.694276510803,-187.70363716695
"okay","1","L",409.7,NA,"Gate4",0.404498,10,3.2,0.193622,16.5270475462499,-5.00096278719504,-25.8284843003122
"okay","1","L",409.7,NA,"Gate5",NA,15,5,NA,NA,NA,NA
"okay","1","L",409.7,NA,"Gate6",1.400228,20,5,NA,NA,NA,NA
"okay","1","L",409.7,NA,"Gate7",1.951107,25,5,0.550879,9.07640334810367,NA,NA
"okay","1","L",409.7,NA,"Gate8",3.401956,30,5,1.450849,3.44625801858084,-5.63014532952283,-3.88058669752871
"okay","1","L",409.7,NA,"Gate9",NA,35,5,NA,NA,NA,NA
"okay","1","L",409.7,NA,"Gate10",6.77223,40,5,NA,NA,NA,NA
"okay","1","L",409.7,NA,"Gate11",7.685445,45,5,0.913214999999999,5.47516192791402,NA,NA
"okay","1","L",409.7,NA,"Gate12",NA,50,5,NA,NA,NA,NA
"okay","1","L",409.7,NA,"Gate13",NA,55,5,NA,NA,NA,NA
"okay","1","L",409.7,NA,"Gate14",NA,60,5,NA,NA,NA,NA
"okay","1","L",409.7,NA,"Gate15",NA,65,5,NA,NA,NA,NA
"okay","1","L",409.7,NA,"Gate16",NA,70,5,NA,NA,NA,NA
"okay","1","L",409.7,NA,"Gate17",NA,75,5,NA,NA,NA,NA
"okay","1","L",409.7,NA,"Gate18",NA,80,5,NA,NA,NA,NA
"okay","1","L",409.7,NA,"Gate19",NA,85,5,NA,NA,NA,NA
"okay","1","L",409.7,NA,"Gate20",NA,90,5,NA,NA,NA,NA
"okay","1","L",409.7,NA,"Gate21",NA,93.2,3.2,NA,NA,NA,NA
"okay","1","L",409.7,NA,"Gate22",NA,95,1.8,NA,NA,NA,NA
"okay","1","L",409.7,NA,"Gate23",NA,98.2,3.2,NA,NA,NA,NA
"okay","1","L",409.7,NA,"Gate24",NA,100,1.8,NA,NA,NA,NA
"okay","2","R",489.8,NA,"Gate0",NA,0,NA,NA,NA,NA,NA
"okay","2","R",489.8,NA,"Gate1",NA,1.8,1.8,NA,NA,NA,NA
"okay","2","R",489.8,NA,"Gate2",0,5,3.2,NA,NA,NA,NA
"okay","2","R",489.8,NA,"Gate3",0.011993,6.8,1.8,0.011993,150.087551071458,NA,NA
"okay","2","R",489.8,NA,"Gate4",0.003705,10,3.2,-0.008288,-386.100386100386,-536.187937171844,64694.4904888808
"okay","2","R",489.8,NA,"Gate5",0.355587,15,5,0.351882,14.2093088023826,400.309694902769,1137.6248142922
"okay","2","R",489.8,NA,"Gate6",0.955445,20,5,0.599858,8.33530602242531,-5.87400277995731,-9.79232214950423
"okay","2","R",489.8,NA,"Gate7",1.644756,25,5,0.689311,7.25361991902059,-1.08168610340472,-1.56922797315685
"okay","2","R",489.8,NA,"Gate8",2.095982,30,5,0.451226,11.0809217553953,3.82730183637472,8.48200643662982
"okay","2","R",489.8,NA,"Gate9",2.600888,35,5,0.504906,9.90283339869203,-1.17808835670328,-2.33328254507429
"okay","2","R",489.8,NA,"Gate10",2.934978,40,5,0.33409,14.9660271184411,5.0631937197491,15.1551789031372
"okay","2","R",489.8,NA,"Gate11",3.245298,45,5,0.31032,16.1124001031194,1.14637298467823,3.69416403930856
"okay","2","R",489.8,NA,"Gate12",3.384959,50,5,0.139661,35.800975218565,19.6885751154456,140.974037959385
"okay","2","R",489.8,NA,"Gate13",3.592076,55,5,0.207117,24.1409444903122,-11.6600307282528,-56.296830913217
"okay","2","R",489.8,NA,"Gate14",3.74164,60,5,0.149564,33.4305046668985,9.28956017658628,62.1109369673604
"okay","2","R",489.8,NA,"Gate15",NA,65,5,NA,NA,NA,NA
"okay","2","R",489.8,NA,"Gate16",NA,70,5,NA,NA,NA,NA
"okay","2","R",489.8,NA,"Gate17",NA,75,5,NA,NA,NA,NA
"okay","2","R",489.8,NA,"Gate18",NA,80,5,NA,NA,NA,NA
"okay","2","R",489.8,NA,"Gate19",NA,85,5,NA,NA,NA,NA
"okay","2","R",489.8,NA,"Gate20",NA,90,5,NA,NA,NA,NA
"okay","2","R",489.8,NA,"Gate21",NA,93.2,3.2,NA,NA,NA,NA
"okay","2","R",489.8,NA,"Gate22",NA,95,1.8,NA,NA,NA,NA
"okay","2","R",489.8,NA,"Gate23",NA,98.2,3.2,NA,NA,NA,NA
"okay","2","R",489.8,NA,"Gate24",NA,100,1.8,NA,NA,NA,NA
"poor","3","R",607.5,NA,"Gate0",0,0,NA,NA,NA,NA,NA
"poor","3","R",607.5,NA,"Gate1",0.740632,1.8,1.8,0.740632,2.43035677637477,NA,NA
"poor","3","R",607.5,NA,"Gate2",1.039668,5,3.2,0.299036,10.7010527160609,8.27069593968617,27.6578603903415
"poor","3","R",607.5,NA,"Gate3",1.16787,6.8,1.8,0.128202,14.0403425843591,3.33928986829812,26.0470965218805
"poor","3","R",607.5,NA,"Gate4",1.390315,10,3.2,0.222445,14.3855784575963,0.345235873237195,1.55200554400951
"poor","3","R",607.5,NA,"Gate5",1.908801,15,5,0.518486,9.64346192568362,-4.74211653191264,-9.14608404453088
