"","spp","NomConc","Phase","fishID","DateTime","Intercept","Slope","Slope.hour","r2","BaroP","Salinity","Temp","Time.m","O2.sat","sat100.mgO2perL","sat100.mgO2permL","date","chamber","volume.ml","treatment","weight.g","length.mm","hPa","mmHg","round","notes","sat100.mgO2","mgO2","mgO2hpos","mass.specific.mgO2ghr","Contam","CalcConc"
"1","GS",0,"M9","gs_014",2021-05-30 14:16:59,0.723823400311716,-0.00478393804173924,-0.287036282504354,0.997887510235767,1014.6,4,18.67,114.7,94.96,9.12187476249924,0.00912187476249924,0021-05-30,6,20.7109,"white",0.6266,44.01,1014.58,761,"2","",0.183206469292464,0.173972863240123,0.287036282504354,0.458085353502002,"Fipronil",0.01
"2","GS",0,"M4","gs_039",2021-06-01 09:14:16,0.506081655956337,-0.00717333631230208,-0.430400178738125,0.985411349941024,1015.3,4,18.72,46.75,92.81,9.11913126981531,0.00911913126981531,0021-06-01,7,21.359,"white",1.0496,54.27,1014.9,761.2,"1","",0.185204084611187,0.171887910927643,0.430400178738125,0.410061145901415,"Fipronil",0.01
"3","GS",0,"M7","gs_014",2021-05-30 13:49:59,0.651882165065624,-0.0054480466843536,-0.326882801061216,0.998685625190425,1014.6,4,18.72,87.7,94.59,9.11270797004399,0.00911270797004399,0021-05-30,6,20.7109,"white",0.6266,44.01,1014.58,761,"2","",0.183022360682755,0.173120850969818,0.326882801061216,0.521676988607111,"Fipronil",0.01
"4","GS",0,"M3","gs_014",2021-05-30 12:55:59,0.351862244949804,-0.00528954446928497,-0.317372668157098,0.999446521505117,1014.6,4,18.92,33.7,94.9,9.07621193192689,0.00907621193192689,0021-05-30,6,20.7109,"white",0.6266,44.01,1014.58,761,"2","",0.182289363304399,0.172992605775875,0.317372668157098,0.506499629998561,"Fipronil",0.01
"5","GS",0,"M1","gs_056",2021-06-01 14:45:39,0.23580654490977,-0.00500064530861612,-0.300038718516967,0.996982321012857,1014.9,4,19.32,11.1666666666667,94.06,9.00675332524191,0.00900675332524191,0021-06-01,8,21.6943,"white",0.554,44.32,1014.9,761.2,"3","",0.190405467321612,0.179095382562708,0.300038718516967,0.541586134507161,"Fipronil",0.01
"6","GS",0,"M5","gs_014",2021-05-30 13:22:59,0.489433008152592,-0.00520699416719414,-0.312419650031649,0.998880921407708,1014.6,4,18.83,60.7,94.48,9.09260136917369,0.00909260136917369,0021-05-30,6,20.7109,"white",0.6266,44.01,1014.58,761,"2","",0.182618533678895,0.17253799061982,0.312419650031649,0.498595036756541,"Fipronil",0.01
"7","GS",0,"M6","gs_046",2021-06-01 13:13:21,0.422645942431514,-0.00285456552813526,-0.171273931688115,0.985473352946426,1014.9,4,19.11,86.9833333333333,95.51,9.04452505273597,0.00904452505273597,0021-06-01,6,20.7109,"white",0.721,47.53,1014.9,761.2,"2","",0.180799151351687,0.172681269455996,0.171273931688115,0.237550529387123,"Fipronil",0.01
"8","GS",0,"M3","gs_068",2021-06-02 12:06:41,0.295454179079675,-0.00338124088105245,-0.202874452863147,0.981707504341326,1013.9,4,18.77,34.9833333333333,93.05,9.0971410541711,0.0090971410541711,0021-06-02,4,21.4921,"white",0.7569,47.33,1013.91,760.5,"2","",0.188631039186448,0.17552118196299,0.202874452863147,0.268033363539632,"Fipronil",0.01
"9","GS",0,"M5","gs_105",2021-06-04 09:40:59,0.535223064826994,-0.00690998686695888,-0.414599212017533,0.99151241626732,1013.8,4,18.64,51.85,93.26,9.12003115611337,0.00912003115611337,0021-06-04,1,21.3905,"white",0.749,47.09,1013.78,760.4,"1","",0.188251123108914,0.175562997411373,0.414599212017533,0.553536998688295,"Fipronil",0.01
"10","GS",0,"M5","gs_052",2021-06-01 15:44:38,0.479176731939649,-0.00438925116039501,-0.263355069623701,0.978701762981951,1014.9,4,19.31,70.15,91.6,9.00854531855829,0.00900854531855829,0021-06-01,4,21.4921,"white",0.932,51.36,1014.9,761.2,"3","",0.18521659260409,0.169658398825347,0.263355069623701,0.282569817192812,"Fipronil",0.01
"11","GS",0,"M6","gs_085",2021-06-03 09:17:53,0.408728147329352,-0.0039010681941728,-0.234064091650368,0.982036924309974,1011.9,4,18.55,58.4833333333333,95.27,9.11909057071735,0.00911909057071735,0021-06-03,5,21.4825,"white",0.8127,50.7,1011.92,759,"1","",0.188489778278613,0.179574211766035,0.234064091650368,0.288007987757313,"Fipronil",0.01
"12","GS",0,"M7","gs_046",2021-06-01 13:28:51,0.520046600702368,-0.00337106899858665,-0.202264139915199,0.980261474473369,1014.9,4,19.16,102.483333333333,95.54,9.03550506477288,0.00903550506477288,0021-06-01,6,20.7109,"white",0.721,47.53,1014.9,761.2,"2","",0.180618842694303,0.172563242310138,0.202264139915199,0.280532787677114,"Fipronil",0.01
"13","GS",0,"M6","gs_014",2021-05-30 13:36:29,0.563058303722043,-0.00525359891306105,-0.315215934783663,0.999332356184646,1014.6,4,18.77,74.2,94.47,9.1035583401024,0.0091035583401024,0021-05-30,6,20.7109,"white",0.6266,44.01,1014.58,761,"2","",0.182838596770119,0.172727622368731,0.315215934783663,0.50305766802372,"Fipronil",0.01
