"","fishID","Contam","CalcConc","date","round","chamber","weight.g","length.mm","mn3.mass.spec.MO2","sd3.mass.spec.MO2","mn.temp"
"1","gs_001","Fipronil",0.86,2021-05-30,"1",1,0.6778,44.35,0.399623647756823,0.0191876882328969,18.5566666666667
"2","gs_007","Fipronil",8.95,2021-05-30,"1",7,0.4847,40.4,0.336231568653808,0.0715910990114364,18.42
"3","gs_008","Fipronil",99.5,2021-05-30,"1",8,0.5968,43.37,0.356941654941513,0.00736508211339111,18.4966666666667
"4","gs_009","Fipronil",8.95,2021-05-30,"2",1,0.5293,42.14,0.415666270438732,0.0604257657782951,18.67
"5","gs_014","Fipronil",0.01,2021-05-30,"2",6,0.6266,44.01,0.459100978569125,0.0389961661050215,18.7166666666667
"6","gs_015","Fipronil",0.86,2021-05-30,"2",7,0.5205,40.74,0.550418995552187,0.00663549301627401,18.7833333333333
"7","gs_018","Fipronil",0.01,2021-05-31,"1",2,1.006,51.82,0.275065304678496,0.0565705450517316,18.2833333333333
"8","gs_019","Fipronil",99.5,2021-05-31,"1",3,0.5577,44,0.407250501353723,0.0496402123947283,18.4533333333333
"9","gs_021","Fipronil",0.86,2021-05-31,"1",5,0.8219,49.75,0.197954125251062,0.0100073693971864,18.0566666666667
"10","gs_022","Fipronil",8.95,2021-05-31,"1",6,0.3876,37.17,0.319301103802045,0.0205225735227048,18.0366666666667
"11","gs_025","Fipronil",0.86,2021-05-31,"2",1,0.5891,45.36,0.407045768508564,0.0073996894849026,19.1133333333333
"12","gs_026","Fipronil",99.5,2021-05-31,"2",2,0.5301,42.27,0.273136489139826,0.0204039859361368,18.9933333333333
"13","gs_028","Fipronil",8.95,2021-05-31,"2",4,0.4328,42.14,0.42176934126783,0.00419574168796667,18.7866666666667
"14","gs_030","Fipronil",0.01,2021-05-31,"2",6,0.8599,51.29,0.293853931078838,0.0124080309383357,19.08
"15","gs_032","Fipronil",8.95,2021-05-31,"2",8,0.7081,49.18,0.414207519567098,0.0260138527318397,19.1133333333333
"16","gs_034","Fipronil",99.5,2021-06-01,"1",2,0.4808,43.7,0.201917574092828,0.0200485970027258,18.8133333333333
"17","gs_036","Fipronil",8.95,2021-06-01,"1",4,0.8121,49.85,0.29091388595483,0.0583500410304047,18.8033333333333
"18","gs_037","Fipronil",0.01,2021-06-01,"1",5,1.0349,54.62,0.190977371042792,0.0201637695546635,18.8866666666667
"19","gs_038","Fipronil",0.86,2021-06-01,"1",6,0.9638,52.61,0.333627901452456,0.0196439459193325,18.8433333333333
"20","gs_039","Fipronil",0.01,2021-06-01,"1",7,1.0496,54.27,0.353573502852526,0.0113662316433305,18.91
"21","gs_041","Fipronil",8.95,2021-06-01,"2",1,0.3388,36.65,0.452888703085787,0.00796852884428144,19.04
"22","gs_042","Fipronil",99.5,2021-06-01,"2",2,0.5557,44.33,0.30987004371559,0.00475372714959209,19.15
"23","gs_046","Fipronil",0.01,2021-06-01,"2",6,0.721,47.53,0.234959156355056,0.00307852064960341,19.0433333333333
"24","gs_047","Fipronil",0.86,2021-06-01,"2",7,0.276,34.62,0.537990847698045,0.0149664960205969,18.98
