"","fishID","Contam","CalcConc","date","round","chamber","weight.g","length.mm","mn3.mass.spec.MO2","sd3.mass.spec.MO2","mn.temp"
"1","ws_001","Fipronil",8.3,2021-06-28,"1",1,0.3652,42.68,0.389525324858066,0.0113603536766845,19.25
"2","ws_002","Fipronil",0.01,2021-06-28,"1",2,0.36,41.73,0.336020530731251,0.00637224307970552,19.28
"3","ws_004","Fipronil",0.76,2021-06-28,"1",4,0.3435,39.97,0.346084427183708,0.0206943241746415,19.1066666666667
"4","ws_006","Fipronil",64.17,2021-06-28,"1",6,0.309,38.92,0.338623856834403,0.0109046751634443,19.13
"5","ws_007","Fipronil",0.76,2021-06-28,"1",7,0.4618,45.25,0.347478656409855,0.0143473737691814,19.28
"6","ws_008","Fipronil",64.17,2021-06-28,"1",8,0.2873,39.84,0.429410964524456,0.0577152931440521,19.1466666666667
"7","ws_009","Fipronil",64.17,2021-06-28,"2",1,0.2453,36.7,0.363158284956798,0.0121285681598734,19.5533333333333
"8","ws_011","Fipronil",0.76,2021-06-28,"2",3,0.6073,48.52,0.269650177690063,0.0582322197480353,19.5133333333333
"9","ws_012","Fipronil",0.01,2021-06-28,"2",4,0.3681,41.1,0.340904891132085,0.0211263945054129,19.51
"10","ws_014","Fipronil",8.3,2021-06-28,"2",6,0.355,40.48,0.317455571277852,0.00578938634767203,19.5533333333333
"11","ws_016","Fipronil",0.01,2021-06-28,"2",8,0.5867,50.7,0.441172564297994,0.0162586461875186,19.5466666666667
"12","ws_020","Fipronil",8.3,2021-06-28,"3",4,0.5038,47.34,0.257466322786516,0.00301593257529626,19.1866666666667
"13","ws_021","Fipronil",64.17,2021-06-28,"3",5,0.2792,37.84,0.236753349452583,0.0067319884358941,19.2933333333333
"14","ws_022","Fipronil",0.76,2021-06-28,"3",6,0.3945,44.63,0.364821188852669,0.0163730871381191,19.27
"15","ws_026","Fipronil",8.3,2021-06-29,"1",2,0.4059,42.21,0.261041539627922,0.00276930058753933,18.34
"16","ws_029","Fipronil",0.01,2021-06-29,"1",5,0.5604,47.5,0.274913686888609,0.00536080488543462,18.3733333333333
"17","ws_030","Fipronil",0.76,2021-06-29,"1",6,0.3678,43.38,0.358369908665304,0.00635934315290613,18.28
"18","ws_031","Fipronil",0.76,2021-06-29,"1",7,0.3803,39.91,0.397622833936353,0.0163399508012799,18.3266666666667
"19","ws_032","Fipronil",64.17,2021-06-29,"1",8,0.3343,39.39,0.305629695537452,0.00254885069227634,18.3133333333333
"20","ws_034","Fipronil",0.01,2021-06-29,"2",2,0.367,41.42,0.326355459582607,0.000599070673226299,18.8333333333333
"21","ws_037","Fipronil",0.76,2021-06-29,"2",5,0.2951,39.55,0.359254943843658,0.0122447766076437,18.78
"22","ws_038","Fipronil",8.3,2021-06-29,"2",6,0.5116,47.73,0.339903266227534,0.003641105662079,18.8366666666667
"23","ws_041","Fipronil",64.17,2021-06-29,"3",1,0.6444,50.57,0.372663527116253,0.00246440739875385,19.02
"24","ws_042","Fipronil",0.76,2021-06-29,"3",2,0.6827,53.67,0.390250660620517,0.0191274311130804,19.0233333333333
"25","ws_044","Fipronil",8.3,2021-06-29,"3",4,0.539,47.42,0.294832308155344,0.0383188881295608,19.01
