raspPI_filestart,spp,trialdate,hatchdate,dph,staff,contaminant,treattemp,nomconc,concname,rep,trialIID,accstart,trialstart,trailend,tunneltemp,tlmm,massg,burst,startside,burstTo,stalledAt,burstQual,stimQual,nFalseStart,Notes
WSContam_005ngR1_T09,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,1,T09,10:03,10:09,10:28,18.1,66.19,1.2627,1,L,5,13,okay,okay,0,
WSContam_005ngR1_T09,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,1,T09,10:03,10:09,10:28,18.1,66.19,1.2627,2,R,14,18,okay,okay,0,back to R
WSContam_005ngR1_T09,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,1,T09,10:03,10:09,10:28,18.1,66.19,1.2627,3,R,4,18,poor,poor,1,
WSContam_005ngR1_T09,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,1,T09,10:03,10:09,10:28,18.1,66.19,1.2627,4,L,24,25,good,good,0,"awesome burst, up down, along bottom (laser side)"
WSContam_005ngR1_T09,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,1,T09,10:03,10:09,10:28,18.1,66.19,1.2627,5,R,21,21,good,good,0,jumped into narrow slot
WSContam_005ngR1_T09,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,1,T09,10:03,10:09,10:28,18.1,66.19,1.2627,6,L,2,10,poor,okay,0,back to L
WSContam_005ngR1_T09,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,1,T09,10:03,10:09,10:28,18.1,66.19,1.2627,7,L,24,24,okay,poor,0,burst not at start
WSContam_005ngR1_T09,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,1,T09,10:03,10:09,10:28,18.1,66.19,1.2627,8,R,19,19,good,good,0,"1st burst up in chamber, then through tunnel"
WSContam_005ngR1_T09,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,1,T09,10:03,10:09,10:28,18.1,66.19,1.2627,9,L,24,25,good,good,1,
WSContam_005ngR1_T09,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,1,T09,10:03,10:09,10:28,18.1,66.19,1.2627,10,R,13,21,good,good,0,
WSContam_005ngR1_T09,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,1,T09,10:03,10:09,10:28,18.1,66.19,1.2627,11,L,22,24,good,good,0,
WSContam_005ngR1_T09,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,1,T09,10:03,10:09,10:28,18.1,66.19,1.2627,12,R,21,21,good,okay,0,burst up then out of chamber
WSContam_005ngR1_T09,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,1,T09,10:03,10:09,10:28,18.1,66.19,1.2627,13,L,7,25,good,okay,0,
WSContam_005ngR1_T09,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,1,T09,10:03,10:09,10:28,18.1,66.19,1.2627,14,R,20,20,good,good,0,
WSContam_005ngR1_T09,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,1,T09,10:03,10:09,10:28,18.1,66.19,1.2627,15,L,24,25,good,good,0,
WSContam_005ngR3_T15,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,3,T15,12:40,12:45,13:03,18.8,65.72,1.3194,1,L,10,25,good,good,0,
WSContam_005ngR3_T15,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,3,T15,12:40,12:45,13:03,18.8,65.72,1.3194,2,R,0,16,poor,poor,0,
WSContam_005ngR3_T15,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,3,T15,12:40,12:45,13:03,18.8,65.72,1.3194,3,L,2,10,poor,good,2,
WSContam_005ngR3_T15,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,3,T15,12:40,12:45,13:03,18.8,65.72,1.3194,4,R,24,25,good,good,0,
WSContam_005ngR3_T15,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,3,T15,12:40,12:45,13:03,18.8,65.72,1.3194,5,L,6,20,okay,good,3,strange freeze at surface ~ 3/4 way through
WSContam_005ngR3_T15,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,3,T15,12:40,12:45,13:03,18.8,65.72,1.3194,6,R,16,23,good,good,0,
WSContam_005ngR3_T15,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,3,T15,12:40,12:45,13:03,18.8,65.72,1.3194,7,L,0,6,poor,good,0,back to L
WSContam_005ngR3_T15,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,3,T15,12:40,12:45,13:03,18.8,65.72,1.3194,8,L,18,18,good,good,0,
WSContam_005ngR3_T15,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,3,T15,12:40,12:45,13:03,18.8,65.72,1.3194,9,R,18,19,good,good,1,
WSContam_005ngR3_T15,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,3,T15,12:40,12:45,13:03,18.8,65.72,1.3194,10,L,10,17,good,good,0,
WSContam_005ngR3_T15,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,3,T15,12:40,12:45,13:03,18.8,65.72,1.3194,11,R,7,13,poor,okay,0,"bak to R; seems very fatigued, tail red/bleeding on fin top lobe"
WSContam_005ngR3_T15,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,3,T15,12:40,12:45,13:03,18.8,65.72,1.3194,12,R,6,15,okay,good,0,zig zag burst
WSContam_005ngR3_T15,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,3,T15,12:40,12:45,13:03,18.8,65.72,1.3194,13,L,0,13,poor,good,2,swimming up in chamber
WSContam_005ngR3_T15,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,3,T15,12:40,12:45,13:03,18.8,65.72,1.3194,14,R,9,16,okay,okay,0,
WSContam_005ngR3_T15,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,3,T15,12:40,12:45,13:03,18.8,65.72,1.3194,15,L,8,9,okay,poor,1,laser zero broken early by experimenter
WSContam_000ngR1_T10,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,1,T10,10:36,10:41,10:57,18.6,57.62,0.8214,1,L,2,17,poor,poor,2,"very agitaged, wants to swim up not out"
WSContam_000ngR1_T10,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,1,T10,10:36,10:41,10:57,18.6,57.62,0.8214,2,R,5,11,poor,okay,1,
WSContam_000ngR1_T10,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,1,T10,10:36,10:41,10:57,18.6,57.62,0.8214,3,L,4,10,poor,good,0,"stopped at 10, swam with crowder"
WSContam_000ngR1_T10,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,1,T10,10:36,10:41,10:57,18.6,57.62,0.8214,4,R,6,10,okay,good,0,penciling in chamber
WSContam_000ngR1_T10,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,1,T10,10:36,10:41,10:57,18.6,57.62,0.8214,5,L,7,8,good,good,0,
WSContam_000ngR1_T10,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,1,T10,10:36,10:41,10:57,18.6,57.62,0.8214,6,R,10,11,good,good,0,
WSContam_000ngR1_T10,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,1,T10,10:36,10:41,10:57,18.6,57.62,0.8214,7,L,3,21,good,good,1,still swimming up / pencilling frequently
WSContam_000ngR1_T10,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,1,T10,10:36,10:41,10:57,18.6,57.62,0.8214,8,,0,0,poor,poor,0,entered wrong start side to rasp pi - not valid swim 
WSContam_000ngR1_T10,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,1,T10,10:36,10:41,10:57,18.6,57.62,0.8214,9,R,19,19,good,good,0,
WSContam_000ngR1_T10,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,1,T10,10:36,10:41,10:57,18.6,57.62,0.8214,10,L,0,2,poor,good,3,swimming up into door
WSContam_000ngR1_T10,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,1,T10,10:36,10:41,10:57,18.6,57.62,0.8214,11,R,0,10,poor,poor,1,"swimming up, first gate skipped"
WSContam_000ngR1_T10,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,1,T10,10:36,10:41,10:57,18.6,57.62,0.8214,12,L,14,15,okay,poor,0,"delayed burst, fastest from 8-14, no stim"
WSContam_000ngR1_T10,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,1,T10,10:36,10:41,10:57,18.6,57.62,0.8214,13,R,2,10,poor,good,0,"pencil swimming, back to R"
WSContam_000ngR1_T10,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,1,T10,10:36,10:41,10:57,18.6,57.62,0.8214,14,R,0,17,okay,poor,0,"no response to stim, them swam out"
WSContam_000ngR1_T10,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,1,T10,10:36,10:41,10:57,18.6,57.62,0.8214,15,L,0,2,poor,good,0,stopped swimming entirely at gate 2
WSContam_000ngR2_T11,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,2,T11,11:02,11:07,11:25,18.3,61.64,1.0138,1,R,10,13,good,good,0,jumpy
WSContam_000ngR2_T11,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,2,T11,11:02,11:07,11:25,18.3,61.64,1.0138,2,L,24,24,good,good,0,swim mostly at top
WSContam_000ngR2_T11,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,2,T11,11:02,11:07,11:25,18.3,61.64,1.0138,3,R,21,21,good,good,0,burst around chamber before bursting out into tunnel
WSContam_000ngR2_T11,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,2,T11,11:02,11:07,11:25,18.3,61.64,1.0138,4,L,0,6,poor,good,0,
WSContam_000ngR2_T11,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,2,T11,11:02,11:07,11:25,18.3,61.64,1.0138,5,L,0,3,poor,good,0,
WSContam_000ngR2_T11,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,2,T11,11:02,11:07,11:25,18.3,61.64,1.0138,6,R,6,17,okay,good,0,jumpy and sporadic
WSContam_000ngR2_T11,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,2,T11,11:02,11:07,11:25,18.3,61.64,1.0138,7,L,18,19,good,good,0,
WSContam_000ngR2_T11,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,2,T11,11:02,11:07,11:25,18.3,61.64,1.0138,8,R,6,7,okay,okay,0,
WSContam_000ngR2_T11,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,2,T11,11:02,11:07,11:25,18.3,61.64,1.0138,9,R,9,9,okay,okay,2,"strange, up into door many times"
WSContam_000ngR2_T11,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,2,T11,11:02,11:07,11:25,18.3,61.64,1.0138,10,L,4,14,okay,poor,0,
WSContam_000ngR2_T11,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,2,T11,11:02,11:07,11:25,18.3,61.64,1.0138,11,R,4,6,poor,okay,0,not respondoing to crowder well
WSContam_000ngR2_T11,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,2,T11,11:02,11:07,11:25,18.3,61.64,1.0138,12,R,21,22,good,good,2,"pinched 6 ties, late burst"
WSContam_000ngR2_T11,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,2,T11,11:02,11:07,11:25,18.3,61.64,1.0138,13,L,0,17,okay,good,0,"2 pinches, strange swim"
WSContam_000ngR2_T11,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,2,T11,11:02,11:07,11:25,18.3,61.64,1.0138,14,R,9,9,good,good,0,
WSContam_000ngR2_T11,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,2,T11,11:02,11:07,11:25,18.3,61.64,1.0138,15,L,5,12,poor,good,0,caudal fin bleeding
WSContam_000ngR3_T12,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,3,T12,11:30,11:36,11:55,18.2,50.07,0.5628,1,R,7,16,okay,good,0,
WSContam_000ngR3_T12,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,3,T12,11:30,11:36,11:55,18.2,50.07,0.5628,2,L,6,6,okay,good,1,fast gilling
WSContam_000ngR3_T12,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,3,T12,11:30,11:36,11:55,18.2,50.07,0.5628,3,L,6,7,good,good,0,
WSContam_000ngR3_T12,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,3,T12,11:30,11:36,11:55,18.2,50.07,0.5628,4,R,5,7,okay,good,1,
WSContam_000ngR3_T12,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,3,T12,11:30,11:36,11:55,18.2,50.07,0.5628,5,R,0,6,poor,good,0,
WSContam_000ngR3_T12,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,3,T12,11:30,11:36,11:55,18.2,50.07,0.5628,6,L,5,14,okay,good,0,second burst 10-13 when put in crowder
WSContam_000ngR3_T12,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,3,T12,11:30,11:36,11:55,18.2,50.07,0.5628,7,R,4,5,okay,good,0,
WSContam_000ngR3_T12,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,3,T12,11:30,11:36,11:55,18.2,50.07,0.5628,8,R,7,15,good,good,0,
WSContam_000ngR3_T12,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,3,T12,11:30,11:36,11:55,18.2,50.07,0.5628,9,L,11,16,good,good,0,
WSContam_000ngR3_T12,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,3,T12,11:30,11:36,11:55,18.2,50.07,0.5628,10,R,5,5,poor,good,0,delay 3-45 seconds between bursts due to laser problems
WSContam_000ngR3_T12,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,3,T12,11:30,11:36,11:55,18.2,50.07,0.5628,11,R,5,15,good,good,0,body pinch
WSContam_000ngR3_T12,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,3,T12,11:30,11:36,11:55,18.2,50.07,0.5628,12,L,7,11,good,good,0,
WSContam_000ngR3_T12,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,3,T12,11:30,11:36,11:55,18.2,50.07,0.5628,13,R,7,7,good,good,0,
WSContam_000ngR3_T12,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,3,T12,11:30,11:36,11:55,18.2,50.07,0.5628,14,R,3,10,okay,good,0,
WSContam_000ngR3_T12,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,0,000ng,3,T12,11:30,11:36,11:55,18.2,50.07,0.5628,15,L,15,16,good,good,0,
WSContam_005ngR2_T13,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,2,T13,12:01,12:06,12:24,18.5,54.33,0.6419,1,R,10,21,good,good,0,
WSContam_005ngR2_T13,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,2,T13,12:01,12:06,12:24,18.5,54.33,0.6419,2,L,11,14,good,good,0,
WSContam_005ngR2_T13,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,2,T13,12:01,12:06,12:24,18.5,54.33,0.6419,3,R,12,19,good,good,1,
WSContam_005ngR2_T13,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,2,T13,12:01,12:06,12:24,18.5,54.33,0.6419,4,L,12,18,good,good,0,
WSContam_005ngR2_T13,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,2,T13,12:01,12:06,12:24,18.5,54.33,0.6419,5,R,0,2,poor,okay,0,penciled at start gate; r/l with raspberry pi might not be right
WSContam_005ngR2_T13,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,2,T13,12:01,12:06,12:24,18.5,54.33,0.6419,6,L,10,23,good,good,0,r/l with raspberry pi might not be right
WSContam_005ngR2_T13,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,2,T13,12:01,12:06,12:24,18.5,54.33,0.6419,7,L,2,4,poor,okay,0,r/l with raspberry pi might not be right
WSContam_005ngR2_T13,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,2,T13,12:01,12:06,12:24,18.5,54.33,0.6419,8,L,8,13,okay,good,1,
WSContam_005ngR2_T13,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,2,T13,12:01,12:06,12:24,18.5,54.33,0.6419,9,R,8,13,good,good,0,
WSContam_005ngR2_T13,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,2,T13,12:01,12:06,12:24,18.5,54.33,0.6419,10,L,10,14,good,good,3,"refusing to burst, swimming upwards"
WSContam_005ngR2_T13,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,2,T13,12:01,12:06,12:24,18.5,54.33,0.6419,11,R,14,18,good,good,0,
WSContam_005ngR2_T13,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,2,T13,12:01,12:06,12:24,18.5,54.33,0.6419,12,L,11,1,good,good,1,
WSContam_005ngR2_T13,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,2,T13,12:01,12:06,12:24,18.5,54.33,0.6419,13,R,10,18,good,good,0,
WSContam_005ngR2_T13,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,2,T13,12:01,12:06,12:24,18.5,54.33,0.6419,14,L,13,19,good,good,1,
WSContam_005ngR2_T13,WS,7/15/20,5/28/20,48,"SB, AES",bif,15,5,005ng,2,T13,12:01,12:06,12:24,18.5,54.33,0.6419,15,R,8,11,good,good,0,
