spp,date,hatch.date,dph,stage,contaminant,acclimtemp,dosage_name,dosage_ng.l,tank_id,fish_id,condition,ctm_c,mass_g,tl_mm,comments
WS,6/10/20,5/28/20,13,larvae,none,18,STOCK,0,NF_1,stock_1,good,31.9,0.0534,22.12,
WS,6/10/20,5/28/20,13,larvae,none,18,STOCK,0,NF_1,stock_2,good,30.4,0.048,21.03,
WS,6/10/20,5/28/20,13,larvae,none,18,STOCK,0,NF_1,stock_3,good,31.1,0.054,22.38,
WS,6/10/20,5/28/20,13,larvae,none,18,STOCK,0,NF_1,stock_4,good,31.3,0.0448,21.1,
WS,6/10/20,5/28/20,13,larvae,none,18,STOCK,0,NF_1,stock_5,good,31.3,0.0419,20.47,
WS,6/10/20,5/28/20,13,larvae,none,18,STOCK,0,NF_1,stock_6,good,32.1,NA,NA,escaped during recovery
WS,6/10/20,5/28/20,13,larvae,Bifenthrin,16,Control,0,NF_3,control_1,good,30.2,NA,NA,escaped during recovery
WS,6/10/20,5/28/20,13,larvae,Bifenthrin,16,Control,0,NF_3,control_2,good,30.1,NA,NA,escaped during recovery
WS,6/10/20,5/28/20,13,larvae,Bifenthrin,16,Control,0,NF_3,control_3,good,29.8,0.0504,20.31,
WS,6/10/20,5/28/20,13,larvae,Bifenthrin,16,Control,0,NF_3,control_4,good,29.7,NA,NA,escaped during recovery
WS,6/10/20,5/28/20,13,larvae,Bifenthrin,16,High_Med,500,DC_4,high.med_1,poor,26.7,0.0392,19.75,visibly affected by bif
WS,6/10/20,5/28/20,13,larvae,Bifenthrin,16,High_Med,500,DC_4,high.med_2,ok,25.4,0.0444,19.97,"visibly ""ok"""
WS,6/10/20,5/28/20,13,larvae,Bifenthrin,16,High_Med,500,DC_4,high.med_3,poor,25.9,0.0461,20.73,visibly affected by bif
WS,6/10/20,5/28/20,13,larvae,Bifenthrin,16,High_Med,500,DC_4,high.med_4,ok,28.3,0.0404,20.85,"visibly ""ok"""
