spp,contaminant,dateCollected,nomconc,calcConc,expct50%,absDiff,propDiff
GS,bif,3/19/20,0,0,0,0,0
GS,bif,3/19/20,5,2.52,2.5,0.02,0.4%
GS,bif,3/19/20,100,69.55,50,19.55,19.6%
GS,bif,3/19/20,500,472.53,250,222.53,44.5%
GS,bif,3/19/20,1000,724.93,500,224.93,22.5%
GS,bif,3/19/20,2000,2117.58,1000,1117.58,55.9%
WS,bif,6/1/20,0,0,0,0,0.0%
WS,bif,6/1/20,5,0.62,2.5,-1.88,-37.6%
WS,bif,6/1/20,100,69.61,50,19.61,19.6%
WS,bif,6/1/20,500,301.79,250,51.79,10.4%
WS,bif,6/1/20,1000,632.69,500,132.69,13.3%
WS,bif,6/1/20,2000,1985.87,1000,985.87,49.3%
,,,,,,,
