trialDate,hatchDate,startTime,startTemp,endTemp,trialRound,fishID,fatigueTime,VIEtag,treatment,nomconc,TLcm,weightg,Refused,NOTES
7/19/21,5/21/21,8:14,19,19,1,1,0:03:00,BB,blue,1000,7.8,2.1,y,
7/19/21,5/21/21,8:14,19,19,1,2,0:03:00,BR,red,100,6.9,1.3,y,
7/19/21,5/21/21,8:14,19,19,1,3,0:03:00,YB,green,1,6,0.8,y,
7/19/21,5/21/21,8:14,19,19,1,4,0:03:00,YB,green,1,7.9,2,y,
7/19/21,5/21/21,8:14,19,19,1,5,0:03:00,BB,blue,1000,7.3,1.4,y,
7/19/21,5/21/21,8:14,19,19,1,6,0:03:00,BB,blue,1000,5.5,0.7,y,
7/19/21,5/21/21,8:14,19,19,1,7,0:03:00,BB,blue,1000,7.2,1.4,y,
7/19/21,5/21/21,8:14,19,19,1,8,0:03:00,BR,pink,500,6.9,1.7,y,
7/19/21,5/21/21,8:14,19,19,1,9,0:15:26,YY,yellow,10,7.2,1.7,n,
7/19/21,5/21/21,8:14,19,19,1,10,0:45:06,BR,pink,500,7.4,1.7,n,
7/19/21,5/21/21,9:35,19,19.2,2,11,0:02:00,RY,white,0,7.1,1.4,y,
7/19/21,5/21/21,9:35,19,19.2,2,12,0:03:10,YB,green,1,6.6,1.4,y,
7/19/21,5/21/21,9:35,19,19.2,2,13,0:03:30,YY,yellow,10,7.9,2,y,
7/19/21,5/21/21,9:35,19,19.2,2,14,0:03:30,YY,yellow,10,6.7,1.1,y,
7/19/21,5/21/21,9:35,19,19.2,2,15,0:03:30,BY,green,1,6.5,1.3,y,
7/19/21,5/21/21,9:35,19,19.2,2,16,0:03:30,BB,blue,1000,7.4,1.7,y,
7/19/21,5/21/21,9:35,19,19.2,2,17,0:03:55,RY,white,0,7,1.4,y,
7/19/21,5/21/21,9:35,19,19.2,2,18,0:11:51,BY,green,1,8.1,2.4,n,
7/19/21,5/21/21,9:35,19,19.2,2,19,0:51:19,BY,green,1,7.1,1.4,n,
7/19/21,5/21/21,9:35,19,19.2,2,20,1:12:17,YY,yellow,10,,,n,no data for TL and Mass
7/19/21,5/21/21,11:20,19.2,19.5,3,21,0:02:04,RR,red,100,7.1,1.7,y,
7/19/21,5/21/21,11:20,19.2,19.5,3,22,0:02:24,BR,pink,500,7.6,1.8,y,
7/19/21,5/21/21,11:20,19.2,19.5,3,23,0:02:24,BR,pink,500,6.8,0.9,y,
7/19/21,5/21/21,11:20,19.2,19.5,3,24,0:02:24,BR,pink,500,7.9,2.3,y,
7/19/21,5/21/21,11:20,19.2,19.5,3,25,0:02:55,BR,pink,500,7.5,2.3,y,
7/19/21,5/21/21,11:20,19.2,19.5,3,26,0:03:13,RY,white,0,6.8,1.1,y,
7/19/21,5/21/21,11:20,19.2,19.5,3,27,0:03:13,BY,green,1,6.2,0.8,y,
7/19/21,5/21/21,11:20,19.2,19.5,3,28,0:07:16,YY,yellow,10,6.8,1.1,n,
7/19/21,5/21/21,11:20,19.2,19.5,3,29,0:09:30,BB,blue,1000,7.9,2.2,n,
7/19/21,5/21/21,11:20,19.2,19.5,3,30,0:15:34,BY,green,1,7.8,1.9,n,
7/19/21,5/21/21,12:10,19.5,20.1,4,31,0:02:29,YB,green,1,7,1.4,y,
7/19/21,5/21/21,12:10,19.5,20.1,4,32,0:02:53,BY,green,1,6.4,1.2,y,
7/19/21,5/21/21,12:10,19.5,20.1,4,33,0:02:53,BB,blue,1000,7.4,2.1,y,
7/19/21,5/21/21,12:10,19.5,20.1,4,34,0:02:53,RR,red,100,8.2,2.6,y,
7/19/21,5/21/21,12:10,19.5,20.1,4,35,0:03:32,BR,pink,500,6.6,1.1,y,
7/19/21,5/21/21,12:10,19.5,20.1,4,36,0:07:02,BB,blue,1000,7.7,2,n,
7/19/21,5/21/21,12:10,19.5,20.1,4,37,0:07:25,YR,white,0,7.4,1.6,n,
7/19/21,5/21/21,12:10,19.5,20.1,4,38,0:10:11,BY,green,1,7.4,1.7,n,
7/19/21,5/21/21,12:10,19.5,20.1,4,39,0:12:16,RR,red,100,8.4,2.3,n,
7/19/21,5/21/21,12:10,19.5,20.1,4,40,1:30:20,BB,blue,1000,8.6,2.6,n,
7/20/21,5/21/21,8:10,18.4,18.3,5,41,0:01:42,RR,red,100,7.5,2,y,
7/20/21,5/21/21,8:10,18.4,18.3,5,42,0:02:16,YB,green,1,7.3,1.7,y,
7/20/21,5/21/21,8:10,18.4,18.3,5,43,0:02:29,RR,red,100,7.9,2.5,y,
7/20/21,5/21/21,8:10,18.4,18.3,5,44,0:02:29,BB,blue,1000,6.2,0.9,y,
7/20/21,5/21/21,8:10,18.4,18.3,5,45,0:02:29,RR,red,100,7.8,2.4,y,
7/20/21,5/21/21,8:10,18.4,18.3,5,46,0:02:29,BR,pink,500,6.8,1.2,y,
7/20/21,5/21/21,8:10,18.4,18.3,5,47,0:02:29,BB,blue,1000,8.1,2.5,y,
7/20/21,5/21/21,8:10,18.4,18.3,5,48,0:07:47,BR,pink,500,7.5,1.8,n,
7/20/21,5/21/21,8:10,18.4,18.3,5,49,0:17:07,YB,green,1,7.5,1.8,n,
7/20/21,5/21/21,8:10,18.4,18.3,5,50,1:08:08,RR,red,100,7.4,1.7,n,
7/20/21,5/21/21,9:50,18.3,18.6,6,51,0:02:32,YR,white,0,5.8,1.4,y,
7/20/21,5/21/21,9:50,18.3,18.6,6,52,0:02:32,YY,yellow,10,7.2,1.7,y,
7/20/21,5/21/21,9:50,18.3,18.6,6,53,0:02:32,BR,pink,500,7.9,2.2,y,
7/20/21,5/21/21,9:50,18.3,18.6,6,54,0:02:32,BR,pink,500,7.4,2,y,
7/20/21,5/21/21,9:50,18.3,18.6,6,55,0:02:32,YY,yellow,10,7.9,2.4,y,
7/20/21,5/21/21,9:50,18.3,18.6,6,56,0:02:32,RB,pink,500,7.3,1.8,y,
7/20/21,5/21/21,9:50,18.3,18.6,6,57,0:02:32,YB,green,1,7.4,1.8,y,
7/20/21,5/21/21,9:50,18.3,18.6,6,58,0:02:32,RY,white,0,7.9,2.3,y,
7/20/21,5/21/21,9:50,18.3,18.6,6,59,0:02:32,YY,yellow,10,7.2,1.5,y,
7/20/21,5/21/21,9:50,18.3,18.6,6,60,0:58:25,YB,green,1,6.8,1.3,n,
7/20/21,5/21/21,11:25,18.6,19.4,7,61,0:01:47,YY,yellow,10,6.5,1.3,y,
7/20/21,5/21/21,11:25,18.6,19.4,7,62,0:01:47,RR,red,100,6.5,1,y,
7/20/21,5/21/21,11:25,18.6,19.4,7,63,0:01:47,RY,white,0,8.3,2.5,y,
7/20/21,5/21/21,11:25,18.6,19.4,7,64,0:01:47,RB,pink,500,8.4,2.4,y,
7/20/21,5/21/21,11:25,18.6,19.4,7,65,0:01:47,RY,white,0,7.5,1.8,y,
7/20/21,5/21/21,11:25,18.6,19.4,7,66,0:01:47,BR,pink,500,7.5,1.9,y,
7/20/21,5/21/21,11:25,18.6,19.4,7,67,0:01:47,BB,blue,1000,7.7,2.4,y,
7/20/21,5/21/21,11:25,18.6,19.4,7,68,0:01:47,BB,blue,1000,7.2,1.3,y,
7/20/21,5/21/21,11:25,18.6,19.4,7,69,0:01:47,RR,red,100,8.5,2.3,y,
7/20/21,5/21/21,11:25,18.6,19.4,7,70,2:00:00,RR,red,100,8.5,2.2,n,
7/20/21,5/21/21,13:59,19.4,20.1,8,71,0:01:48,RY,white,0,8,2.3,y,
7/20/21,5/21/21,13:59,19.4,20.1,8,72,0:01:48,RB,pink,500,7,1.4,y,
7/20/21,5/21/21,13:59,19.4,20.1,8,73,0:02:54,RY,white,0,8.1,1.9,y,
7/20/21,5/21/21,13:59,19.4,20.1,8,74,0:02:54,BY,green,1,6.8,1.4,y,
7/20/21,5/21/21,13:59,19.4,20.1,8,75,0:03:36,YY,yellow,10,7.7,2.3,y,
7/20/21,5/21/21,13:59,19.4,20.1,8,76,0:03:57,RR,red,100,7,1.7,y,
7/20/21,5/21/21,13:59,19.4,20.1,8,77,0:04:12,YY,yellow,10,7.4,1.6,y,
7/20/21,5/21/21,13:59,19.4,20.1,8,78,0:04:36,BB,blue,1000,5.8,0.9,y,fish 071 to 078 mostly refused to swim 
7/20/21,5/21/21,13:59,19.4,20.1,8,79,0:05:45,RR,red,100,8.5,2.6,n,
7/20/21,5/21/21,13:59,19.4,20.1,8,80,0:40:51,RR,red,100,8.1,2,n,
7/21/21,5/21/21,8:13,17.9,18.1,9,81,0:01:42,BR,pink,500,7.9,1.6,y,curved back/spinner 
7/21/21,5/21/21,8:13,17.9,18.1,9,82,0:01:42,BY,green,1,6.7,1.1,y,
7/21/21,5/21/21,8:13,17.9,18.1,9,83,0:02:23,YY,yellow,10,7.8,2,y,
7/21/21,5/21/21,8:13,17.9,18.1,9,84,0:02:42,RY,white,0,8.8,2.4,y,
7/21/21,5/21/21,8:13,17.9,18.1,9,85,0:02:42,BR,pink,500,8,1.2,y,
7/21/21,5/21/21,8:13,17.9,18.1,9,86,0:02:42,BR,pink,500,7.1,1.4,y,nemo — one smaller fin
7/21/21,5/21/21,8:13,17.9,18.1,9,87,0:02:42,YB,green,1,8.6,2.4,y,
7/21/21,5/21/21,8:13,17.9,18.1,9,88,0:03:30,RY,white,0,7.5,1.2,y,
7/21/21,5/21/21,8:13,17.9,18.1,9,89,1:16:00,RY,white,0,9.1,2.5,n,
7/21/21,5/21/21,8:13,17.9,18.1,9,90,1:51:00,YB,green,1,7.8,1.6,n,
7/21/21,5/21/21,10:40,18.1,18.4,10,91,0:01:20,BB,blue,1000,5.2,0.4,y,
7/21/21,5/21/21,10:40,18.1,18.4,10,92,0:01:30,YY,yellow,10,7.6,1.4,y,
7/21/21,5/21/21,10:40,18.1,18.4,10,93,0:01:46,BR,pink,500,7,1,y,
7/21/21,5/21/21,10:40,18.1,18.4,10,94,0:01:46,BB,blue,1000,7.4,1.4,y,
7/21/21,5/21/21,10:40,18.1,18.4,10,95,0:02:10,YB,green,1,7.9,1.8,y,
7/21/21,5/21/21,10:40,18.1,18.4,10,96,0:02:10,YB,green,1,7.8,1.8,y,
7/21/21,5/21/21,10:40,18.1,18.4,10,97,0:03:00,BB,blue,1000,7,1.2,y,
7/21/21,5/21/21,10:40,18.1,18.4,10,98,0:03:07,YY,yellow,10,7.9,1.7,n,
7/21/21,5/21/21,10:40,18.1,18.4,10,99,0:03:53,YY,yellow,10,8.6,2.1,n,
7/21/21,5/21/21,10:40,18.1,18.4,10,100,0:04:23,RY,white,0,8.8,2.5,n,
7/21/21,5/21/21,10:40,18.1,18.4,10,101,0:04:58,RR,red,100,8.9,2.2,n,
7/21/21,5/21/21,10:40,18.1,18.4,10,102,0:06:16,BY,green,1,7.4,1.6,n,
7/21/21,5/21/21,10:40,18.1,18.4,10,103,0:08:18,YY,yellow,10,7.8,1.7,n,
7/21/21,5/21/21,10:40,18.1,18.4,10,104,0:12:28,YY,yellow,10,7.3,1.3,n,
7/21/21,5/21/21,10:40,18.1,18.4,10,105,0:17:28,BB,blue,1000,7.9,1.3,n,
7/21/21,5/21/21,10:40,18.1,18.4,10,106,0:44:57,BR,pink,500,8.8,1.7,n,
7/21/21,5/21/21,11:58,18.4,19.6,11,107,0:01:50,YB,green,1,7.2,1.4,y,
7/21/21,5/21/21,11:58,18.4,19.6,11,108,0:01:50,RR,red,100,6.6,1,y,
7/21/21,5/21/21,11:58,18.4,19.6,11,109,0:01:50,YY,yellow,10,6.7,1.1,y,nemo fin
7/21/21,5/21/21,11:58,18.4,19.6,11,110,0:01:50,BR,pink,500,7.5,1.4,y,
7/21/21,5/21/21,11:58,18.4,19.6,11,111,0:01:50,YY,yellow,10,9.1,2.1,y,
7/21/21,5/21/21,11:58,18.4,19.6,11,112,0:01:50,RR,red,100,9.2,2.7,y,
7/21/21,5/21/21,11:58,18.4,19.6,11,113,0:01:50,BB,blue,1000,9.2,3.7,y,
7/21/21,5/21/21,11:58,18.4,19.6,11,114,0:01:50,R?R,red,100,7.4,1.4,y,
7/21/21,5/21/21,11:58,18.4,19.6,11,115,0:03:00,YB,green,1,6.4,0.9,y,
7/21/21,5/21/21,11:58,18.4,19.6,11,116,0:05:23,RR,red,100,8.3,1.9,n,
7/21/21,5/21/21,11:58,18.4,19.6,11,117,0:07:33,YY,yellow,10,7.7,1.5,n,
7/21/21,5/21/21,11:58,18.4,19.6,11,118,0:11:56,YB,green,1,6.8,1,n,
7/21/21,5/21/21,11:58,18.4,19.6,11,119,0:29:24,RY,white,0,7.9,1.8,n,
7/21/21,5/21/21,11:58,18.4,19.6,11,120,1:00:26,BR,pink,500,9,2.4,n,
