spp,contaminant,year,targettemp,date,time,group,rep,treatment,tempC
GS,bif,2020,15,3/22/20,11:30,lg,1,control,15
GS,bif,2020,15,3/22/20,11:30,lg,2,control,15
GS,bif,2020,15,3/22/20,11:30,lg,3,control,15.2
GS,bif,2020,15,3/22/20,11:30,lg,4,control,15.2
GS,bif,2020,15,3/22/20,11:30,sm,1,control,15.3
GS,bif,2020,15,3/22/20,11:30,sm,2,control,15.4
GS,bif,2020,15,3/22/20,11:30,sm,3,control,15.4
GS,bif,2020,15,3/22/20,11:30,sm,4,control,15.4
GS,bif,2020,15,3/22/20,11:30,sm,5,control,15.4
GS,bif,2020,15,3/22/20,11:30,sm,6,control,15.4
GS,bif,2020,15,3/22/20,11:30,sm,7,control,15.4
GS,bif,2020,15,3/22/20,11:30,sm,8,control,15.4
GS,bif,2020,15,3/19/20,11:15,lg,1,control,15.1
GS,bif,2020,15,3/19/20,11:15,lg,2,control,14.9
GS,bif,2020,15,3/19/20,11:15,lg,3,control,15.1
GS,bif,2020,15,3/19/20,11:15,lg,4,control,15.3
GS,bif,2020,15,3/19/20,11:15,sm,1,control,15.3
GS,bif,2020,15,3/19/20,11:15,sm,2,control,15.3
GS,bif,2020,15,3/19/20,11:15,sm,3,control,15.3
GS,bif,2020,15,3/19/20,11:15,sm,4,control,15.1
GS,bif,2020,15,3/19/20,11:15,sm,5,control,15.3
GS,bif,2020,15,3/19/20,11:15,sm,6,control,15
GS,bif,2020,15,3/19/20,11:15,sm,7,control,15.2
GS,bif,2020,15,3/19/20,11:15,sm,8,control,15.3
GS,bif,2020,15,3/20/20,12:00,lg,1,control,14.7
GS,bif,2020,15,3/20/20,12:00,lg,2,control,14.7
GS,bif,2020,15,3/20/20,12:00,lg,3,control,14.9
GS,bif,2020,15,3/20/20,12:00,lg,4,control,14.9
GS,bif,2020,15,3/20/20,12:00,sm,1,control,15.1
GS,bif,2020,15,3/20/20,12:00,sm,2,control,15.1
GS,bif,2020,15,3/20/20,12:00,sm,3,control,15.1
GS,bif,2020,15,3/20/20,12:00,sm,4,control,15
GS,bif,2020,15,3/20/20,12:00,sm,5,control,15.1
GS,bif,2020,15,3/20/20,12:00,sm,6,control,14.7
GS,bif,2020,15,3/20/20,12:00,sm,7,control,15.1
GS,bif,2020,15,3/20/20,12:00,sm,8,control,15.2
GS,bif,2020,15,3/21/20,11:00,lg,1,control,14.4
GS,bif,2020,15,3/21/20,11:00,lg,2,control,14.2
GS,bif,2020,15,3/21/20,11:00,lg,3,control,14.5
GS,bif,2020,15,3/21/20,11:00,lg,4,control,14.4
GS,bif,2020,15,3/21/20,11:00,sm,1,control,14.5
GS,bif,2020,15,3/21/20,11:00,sm,2,control,14.5
GS,bif,2020,15,3/21/20,11:00,sm,3,control,14.4
GS,bif,2020,15,3/21/20,11:00,sm,4,control,14.3
GS,bif,2020,15,3/21/20,11:00,sm,5,control,14.4
GS,bif,2020,15,3/21/20,11:00,sm,6,control,14.2
GS,bif,2020,15,3/21/20,11:00,sm,7,control,14.5
GS,bif,2020,15,3/21/20,11:00,sm,8,control,14.5
GS,bif,2020,15,3/21/20,12:30,lg,1,control,15
GS,bif,2020,15,3/21/20,12:30,lg,2,control,14.9
GS,bif,2020,15,3/21/20,12:30,lg,3,control,15.1
GS,bif,2020,15,3/21/20,12:30,lg,4,control,15.1
