spp,date,hatchdate,dph,staff,contaminant,treatment,group,targettempC,nomconclab,tank,fishID,nomconc,tl_mm,mass_g,Notes
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0000ng,I,15,0000ng,,R1,0,18.33,0.0437,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0000ng,I,15,0000ng,,R2,0,19.23,0.0448,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0000ng,I,15,0000ng,,R3,0,18.77,0.0437,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0000ng,I,15,0000ng,,R4,0,18.4,0.0459,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0000ng,I,15,0000ng,,R5,0,18.55,0.0428,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0000ng,I,15,0000ng,,R6,0,17.89,0.0439,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0000ng,I,15,0000ng,,R7,0,18.83,0.0403,reference photo (1) euthanizes with tweezers prior to weighing and may have influenced weight
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0000ng,I,15,0000ng,,R8,0,18.96,0.0436,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0005ng,I,15,0005ng,,R1,5,18.15,0.0566,fluid filled sac around organs
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0005ng,I,15,0005ng,,R2,5,18.66,0.0465,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0005ng,I,15,0005ng,,R3,5,18,0.0397,Measured in cm
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0005ng,I,15,0005ng,,R4,5,17.55,0.0374,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0005ng,I,15,0005ng,,R5,5,17.87,0.0493,"reference photos taken (2), vanessa called it 'bulbous'"
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0005ng,I,15,0005ng,,R6,5,18.37,0.0438,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0005ng,I,15,0005ng,,R7,5,18.89,0.0622,fluid filled sac around organs
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0005ng,I,15,0005ng,,R8,5,18.81,0.0443,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0100ng,I,15,0100ng,,R1,100,17.65,0.038,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0100ng,I,15,0100ng,,R2,100,19.22,0.0472,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0100ng,I,15,0100ng,,R3,100,18.79,0.0421,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0100ng,I,15,0100ng,,R4,100,19.59,0.0448,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0100ng,I,15,0100ng,,R5,100,18.22,0.0416,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0100ng,I,15,0100ng,,R6,100,17.57,0.0371,reference photos taken (2)
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0100ng,I,15,0100ng,,R7,100,18.66,0.0418,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0100ng,I,15,0100ng,,R8,100,19.26,0.043,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0500ng,I,15,0500ng,,R1,500,17.95,0.0595,fluid filled sac around organs
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0500ng,I,15,0500ng,,R2,500,19.32,0.0437,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0500ng,I,15,0500ng,,R3,500,18.36,0.041,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0500ng,I,15,0500ng,,R4,500,18.29,0.0467,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0500ng,I,15,0500ng,,R5,500,18.87,0.0422,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0500ng,I,15,0500ng,,R6,500,18.6,0.0425,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0500ng,I,15,0500ng,,R7,500,17.29,0.0404,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-0500ng,I,15,0500ng,,R8,500,18.21,0.037,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-1000ng,I,15,1000ng,,R1,1000,18.43,0.0416,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-1000ng,I,15,1000ng,,R2,1000,17.17,0.0419,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-1000ng,I,15,1000ng,,R3,1000,18,0.0432,Measured in cm
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-1000ng,I,15,1000ng,,R4,1000,17.78,0.0429,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-1000ng,I,15,1000ng,,R5,1000,19.5,0.0421,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-1000ng,I,15,1000ng,,R6,1000,18.34,0.0425,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-1000ng,I,15,1000ng,,R7,1000,18.58,0.0416,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-1000ng,I,15,1000ng,,R8,1000,18.95,0.0441,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-2000ng,I,15,2000ng,,R1,2000,19.17,0.0457,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-2000ng,I,15,2000ng,,R2,2000,19.07,0.0451,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-2000ng,I,15,2000ng,,R3,2000,18.95,0.0454,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-2000ng,I,15,2000ng,,R4,2000,18.76,0.0423,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-2000ng,I,15,2000ng,,R5,2000,17.92,0.0422,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-2000ng,I,15,2000ng,,R6,2000,18.67,0.0444,"Yolk looked oddly shaped, took photo but photo mslabeled as R5 on phone"
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-2000ng,I,15,2000ng,,R7,2000,17.76,0.0413,
GS,3/23/20,3/16/20,7,"SB,AES,VL",bif,I-15C-2000ng,I,15,2000ng,,R8,2000,17.75,0.0428,
GS,4/4/20,3/16/20,19,"SB,AES",bif,G-15C-0000ng,G,15,0000ng,,1,0,23.25,0.0899,
GS,4/4/20,3/16/20,19,"SB,AES",bif,G-15C-0000ng,G,15,0000ng,,2,0,25.05,0.076,
GS,4/4/20,3/16/20,19,"SB,AES",bif,G-15C-0000ng,G,15,0000ng,,3,0,23.79,0.0715,
