spp,date,hatchdate,dph,staff,contaminant,treatment,group,targettempC,nomconclab,tank,fishID,nomconc,tl_mm,mass_g,Notes
WS,6/6/20,5/28/20,9,"AES, SB",bif,I-15C-0000ng,I,15,0000ng,expcup,R5,0,19.52,0.0494,
WS,6/6/20,5/28/20,9,"AES, SB",bif,I-15C-0000ng,I,15,0000ng,expcup,R6,0,18.26,0.0383,
WS,6/6/20,5/28/20,9,"AES, SB",bif,I-15C-0000ng,I,15,0000ng,expcup,R1,0,19.19,0.0446,
WS,6/6/20,5/28/20,9,"AES, SB",bif,I-15C-0000ng,I,15,0000ng,expcup,R2,0,17.93,0.0439,
WS,6/6/20,5/28/20,9,"AES, SB",bif,I-15C-0000ng,I,15,0000ng,expcup,R7,0,18.96,0.0496,
WS,6/6/20,5/28/20,9,"AES, SB",bif,I-15C-0000ng,I,15,0000ng,expcup,R8,0,18.81,0.0435,
WS,6/6/20,5/28/20,9,"AES, SB",bif,I-15C-0000ng,I,15,0000ng,expcup,R3,0,20.11,0.0527,
WS,6/6/20,5/28/20,9,"AES, SB",bif,I-15C-0000ng,I,15,0000ng,expcup,R4,0,19.38,0.0507,
WS,6/6/20,5/28/20,9,"AES, SB",bif,I-15C-0005ng,I,15,0005ng,expcup,R5,5,18.23,0.0416,
WS,6/6/20,5/28/20,9,"AES, SB",bif,I-15C-0005ng,I,15,0005ng,expcup,R6,5,18.97,0.0446,
WS,6/6/20,5/28/20,9,"AES, SB",bif,I-15C-0005ng,I,15,0005ng,expcup,R1,5,18.98,0.0452,
WS,6/6/20,5/28/20,9,"AES, SB",bif,I-15C-0005ng,I,15,0005ng,expcup,R2,5,19.06,0.0457,
WS,6/6/20,5/28/20,9,"AES, SB",bif,I-15C-0005ng,I,15,0005ng,expcup,R7,5,18.32,0.0465,
WS,6/6/20,5/28/20,9,"AES, SB",bif,I-15C-0005ng,I,15,0005ng,expcup,R8,5,18.62,0.0498,improper tare
WS,6/6/20,5/28/20,9,"AES, SB",bif,I-15C-0005ng,I,15,0005ng,expcup,R3,5,18.33,0.0431,
WS,6/6/20,5/28/20,9,"AES, SB",bif,I-15C-0005ng,I,15,0005ng,expcup,R4,5,19.29,0.0475,
WS,6/6/20,5/28/20,9,"AES, SB",bif,I-15C-0100ng,I,15,0100ng,expcup,R5,100,18.7,0.0459,
WS,6/6/20,5/28/20,9,"AES, SB",bif,I-15C-0100ng,I,15,0100ng,expcup,R6,100,18.92,0.0472,slight bleeding
WS,6/6/20,5/28/20,9,"AES, SB",bif,I-15C-0100ng,I,15,0100ng,expcup,R1,100,18.93,0.0421,
WS,6/6/20,5/28/20,9,"AES, SB",bif,I-15C-0100ng,I,15,0100ng,expcup,R2,100,18.64,0.0441,
WS,6/6/20,5/28/20,9,"AES, SB",bif,I-15C-0100ng,I,15,0100ng,expcup,R7,100,18.35,0.0432,
WS,6/6/20,5/28/20,9,"AES, SB",bif,I-15C-0100ng,I,15,0100ng,expcup,R8,100,NA,0.0477,bent notocord
WS,6/6/20,5/28/20,9,"AES, SB",bif,I-15C-0100ng,I,15,0100ng,expcup,R3,100,20.05,0.0508,
WS,6/6/20,5/28/20,9,"AES, SB",bif,I-15C-0100ng,I,15,0100ng,expcup,R4,100,19.17,0.0441,
WS,6/6/20,5/28/20,9,"AES, SB",bif,I-15C-0500ng,I,15,0500ng,expcup,R5,500,16.67,0.0368,tail cut
