spp,date,hatchdate,dph,staff,contaminant,treatment,group,targettempC,nomconclab,tank,fishID,nomconc,tl_mm,mass_g,Notes
WS,5/28/21,5/21/21,7,mld,fip,white,I,15,0000ug,R1,1,0,16.3,0.031,
WS,5/28/21,5/21/21,7,mld,fip,white,I,15,0000ug,R2,2,0,16.1,0.03,
WS,5/28/21,5/21/21,7,mld,fip,white,I,15,0000ug,R3,3,0,15.5,0.034,
WS,5/28/21,5/21/21,7,mld,fip,white,I,15,0000ug,R4,4,0,15.7,0.034,
WS,5/28/21,5/21/21,7,mld,fip,white,I,15,0000ug,R5,5,0,15,0.03,
WS,5/28/21,5/21/21,7,mld,fip,white,I,15,0000ug,R6,6,0,16.4,0.035,
WS,5/28/21,5/21/21,7,mld,fip,white,I,15,0000ug,R7,7,0,15.5,0.034,
WS,5/28/21,5/21/21,7,mld,fip,white,I,15,0000ug,R8,8,0,16.5,0.034,
WS,5/28/21,5/21/21,7,mld,fip,white,I,15,0000ug,R9,9,0,16.2,0.033,
WS,5/28/21,5/21/21,7,mld,fip,white,I,15,0000ug,R10,10,0,16.4,0.042,
WS,5/28/21,5/21/21,7,mld,fip,white,I,15,0000ug,R11,11,0,15.8,0.033,
WS,5/28/21,5/21/21,7,mld,fip,white,I,15,0000ug,R12,12,0,15.8,0.035,
WS,5/28/21,5/21/21,7,mld,fip,white,I,15,0000ug,R13,13,0,15.8,0.039,
WS,5/28/21,5/21/21,7,mld,fip,white,I,15,0000ug,R14,14,0,15.9,0.04,
WS,5/28/21,5/21/21,7,mld,fip,white,I,15,0000ug,R15,15,0,15,0.04,
WS,5/28/21,5/21/21,7,mld,fip,white,I,15,0000ug,R16,16,0,15.8,0.04,
WS,5/28/21,5/21/21,7,mld,fip,green,I,15,0001ug,R1,1,1,15.9,0.032,
WS,5/28/21,5/21/21,7,mld,fip,green,I,15,0001ug,R2,2,1,15.8,0.032,
WS,5/28/21,5/21/21,7,mld,fip,green,I,15,0001ug,R3,3,1,16.1,0.033,
WS,5/28/21,5/21/21,7,mld,fip,green,I,15,0001ug,R4,4,1,15.6,0.032,
WS,5/28/21,5/21/21,7,mld,fip,green,I,15,0001ug,R5,5,1,15.9,0.04,
WS,5/28/21,5/21/21,7,mld,fip,green,I,15,0001ug,R6,6,1,16.1,0.033,
WS,5/28/21,5/21/21,7,mld,fip,green,I,15,0001ug,R7,7,1,15.7,0.036,
WS,5/28/21,5/21/21,7,mld,fip,green,I,15,0001ug,R8,8,1,15.5,0.032,
WS,5/28/21,5/21/21,7,mld,fip,green,I,15,0001ug,R9,9,1,16.2,0.032,
WS,5/28/21,5/21/21,7,mld,fip,green,I,15,0001ug,R10,10,1,16.7,0.038,
WS,5/28/21,5/21/21,7,mld,fip,green,I,15,0001ug,R11,11,1,15.8,0.034,
WS,5/28/21,5/21/21,7,mld,fip,green,I,15,0001ug,R12,12,1,16.1,0.035,
WS,5/28/21,5/21/21,7,mld,fip,green,I,15,0001ug,R13,13,1,15.9,0.033,
WS,5/28/21,5/21/21,7,mld,fip,green,I,15,0001ug,R14,14,1,16,0.035,
WS,5/28/21,5/21/21,7,mld,fip,green,I,15,0001ug,R15,15,1,16.3,0.035,
WS,5/28/21,5/21/21,7,mld,fip,green,I,15,0001ug,R16,16,1,15.4,0.037,
WS,5/28/21,5/21/21,7,mld,fip,yellow,I,15,0010ug,R1,1,10,15.5,0.029,
WS,5/28/21,5/21/21,7,mld,fip,yellow,I,15,0010ug,R2,2,10,14.6,0.031,
WS,5/28/21,5/21/21,7,mld,fip,yellow,I,15,0010ug,R3,3,10,15.3,0.032,
WS,5/28/21,5/21/21,7,mld,fip,yellow,I,15,0010ug,R4,4,10,15.7,0.032,
WS,5/28/21,5/21/21,7,mld,fip,yellow,I,15,0010ug,R5,5,10,15.5,0.029,
WS,5/28/21,5/21/21,7,mld,fip,yellow,I,15,0010ug,R6,6,10,15.5,0.032,
WS,5/28/21,5/21/21,7,mld,fip,yellow,I,15,0010ug,R7,7,10,15.9,0.035,
WS,5/28/21,5/21/21,7,mld,fip,yellow,I,15,0010ug,R8,8,10,16.3,0.035,
WS,5/28/21,5/21/21,7,mld,fip,yellow,I,15,0010ug,R9,9,10,16,0.039,
WS,5/28/21,5/21/21,7,mld,fip,yellow,I,15,0010ug,R10,10,10,16.2,0.034,
WS,5/28/21,5/21/21,7,mld,fip,yellow,I,15,0010ug,R11,11,10,16,0.038,
WS,5/28/21,5/21/21,7,mld,fip,yellow,I,15,0010ug,R12,12,10,15.2,0.043,
WS,5/28/21,5/21/21,7,mld,fip,yellow,I,15,0010ug,R13,13,10,15,0.042,
WS,5/28/21,5/21/21,7,mld,fip,yellow,I,15,0010ug,R14,14,10,16.2,0.033,
WS,5/28/21,5/21/21,7,mld,fip,yellow,I,15,0010ug,R15,15,10,14.6,0.032,
WS,5/28/21,5/21/21,7,mld,fip,yellow,I,15,0010ug,R16,16,10,15.5,0.026,
WS,5/28/21,5/21/21,7,mld,fip,red,I,15,0100ug,R1,1,100,17,0.031,
WS,5/28/21,5/21/21,7,mld,fip,red,I,15,0100ug,R2,2,100,16.4,0.03,
