location,datetime,temp_c
air,5/28/2020 11:53,27.468
air,5/28/2020 11:53,
air,5/28/2020 11:58,27.665
air,5/28/2020 12:03,27.272
air,5/28/2020 12:08,26.977
air,5/28/2020 12:13,26.781
air,5/28/2020 12:18,26.585
air,5/28/2020 12:23,26.39
air,5/28/2020 12:28,26.292
air,5/28/2020 12:33,26.097
air,5/28/2020 12:38,25.902
air,5/28/2020 12:43,25.805
air,5/28/2020 12:48,25.708
air,5/28/2020 12:53,25.61
air,5/28/2020 12:58,25.513
air,5/28/2020 13:03,25.416
air,5/28/2020 13:08,25.319
air,5/28/2020 13:13,25.319
air,5/28/2020 13:18,25.222
air,5/28/2020 13:23,25.125
air,5/28/2020 13:28,25.125
air,5/28/2020 13:33,25.125
air,5/28/2020 13:38,25.028
air,5/28/2020 13:43,25.028
air,5/28/2020 13:48,24.931
air,5/28/2020 13:53,24.931
air,5/28/2020 13:58,24.931
air,5/28/2020 14:03,24.835
air,5/28/2020 14:08,24.835
air,5/28/2020 14:13,24.738
air,5/28/2020 14:18,25.319
air,5/28/2020 14:23,27.173
air,5/28/2020 14:28,28.06
air,5/28/2020 14:33,28.754
air,5/28/2020 14:38,29.352
air,5/28/2020 14:43,30.054
air,5/28/2020 14:48,30.76
air,5/28/2020 14:53,31.574
air,5/28/2020 14:58,32.291
air,5/28/2020 15:03,33.118
air,5/28/2020 15:08,33.848
air,5/28/2020 15:13,34.796
air,5/28/2020 15:18,35.328
air,5/28/2020 15:23,35.649
air,5/28/2020 15:28,35.328
air,5/28/2020 15:33,35.542
air,5/28/2020 15:38,35.328
air,5/28/2020 15:43,35.222
air,5/28/2020 15:48,34.479
air,5/28/2020 15:53,34.268
air,5/28/2020 15:58,34.268
air,5/28/2020 16:03,34.374
air,5/28/2020 16:08,34.479
air,5/28/2020 16:13,34.374
air,5/28/2020 16:18,34.268
air,5/28/2020 16:23,34.163
air,5/28/2020 16:28,34.058
air,5/28/2020 16:33,34.058
air,5/28/2020 16:38,33.953
air,5/28/2020 16:43,33.953
air,5/28/2020 16:48,33.848
air,5/28/2020 16:53,33.743
air,5/28/2020 16:58,33.639
air,5/28/2020 17:03,33.535
air,5/28/2020 17:08,33.43
air,5/28/2020 17:13,33.326
air,5/28/2020 17:18,33.222
air,5/28/2020 17:23,33.014
air,5/28/2020 17:28,32.911
air,5/28/2020 17:33,32.807
air,5/28/2020 17:38,32.704
air,5/28/2020 17:43,32.6
air,5/28/2020 17:48,32.497
air,5/28/2020 17:53,32.394
air,5/28/2020 17:58,32.291
air,5/28/2020 18:03,32.291
air,5/28/2020 18:08,32.188
air,5/28/2020 18:13,32.086
air,5/28/2020 18:18,31.983
air,5/28/2020 18:23,31.88
air,5/28/2020 18:28,31.778
air,5/28/2020 18:33,31.676
air,5/28/2020 18:38,31.574
air,5/28/2020 18:43,31.37
air,5/28/2020 18:48,31.268
air,5/28/2020 18:53,31.166
air,5/28/2020 18:58,30.963
air,5/28/2020 19:03,30.862
air,5/28/2020 19:08,30.659
air,5/28/2020 19:13,30.457
air,5/28/2020 19:18,30.356
air,5/28/2020 19:23,30.154
air,5/28/2020 19:28,29.953
air,5/28/2020 19:33,29.752
air,5/28/2020 19:38,29.552
air,5/28/2020 19:43,29.352
air,5/28/2020 19:48,29.152
air,5/28/2020 19:53,28.853
air,5/28/2020 19:58,28.555
air,5/28/2020 20:03,28.258
air,5/28/2020 20:08,28.06
air,5/28/2020 20:13,27.764
air,5/28/2020 20:18,27.468
air,5/28/2020 20:23,27.075
air,5/28/2020 20:28,26.781
air,5/28/2020 20:33,26.488
air,5/28/2020 20:38,26.292
air,5/28/2020 20:43,26
air,5/28/2020 20:48,25.708
air,5/28/2020 20:53,25.513
air,5/28/2020 20:58,25.319
air,5/28/2020 21:03,25.125
air,5/28/2020 21:08,25.028
air,5/28/2020 21:13,24.931
air,5/28/2020 21:18,24.931
air,5/28/2020 21:23,24.835
air,5/28/2020 21:28,24.641
air,5/28/2020 21:33,24.545
air,5/28/2020 21:38,24.351
air,5/28/2020 21:43,24.158
air,5/28/2020 21:48,24.062
air,5/28/2020 21:53,23.869
air,5/28/2020 21:58,23.773
air,5/28/2020 22:03,23.581
air,5/28/2020 22:08,23.484
air,5/28/2020 22:13,23.292
air,5/28/2020 22:18,23.1
air,5/28/2020 22:23,22.908
air,5/28/2020 22:28,22.812
air,5/28/2020 22:33,22.621
air,5/28/2020 22:38,22.525
air,5/28/2020 22:43,22.333
air,5/28/2020 22:48,22.238
air,5/28/2020 22:53,22.046
air,5/28/2020 22:58,21.951
air,5/28/2020 23:03,21.855
air,5/28/2020 23:08,21.76
air,5/28/2020 23:13,21.569
air,5/28/2020 23:18,21.473
air,5/28/2020 23:23,21.378
air,5/28/2020 23:28,21.282
air,5/28/2020 23:33,21.091
air,5/28/2020 23:38,20.996
air,5/28/2020 23:43,20.901
air,5/28/2020 23:48,20.805
air,5/28/2020 23:53,20.71
air,5/28/2020 23:58,20.615
air,5/29/2020 0:03,20.519
air,5/29/2020 0:08,20.424
air,5/29/2020 0:13,20.329
air,5/29/2020 0:18,20.234
air,5/29/2020 0:23,20.138
air,5/29/2020 0:28,20.138
air,5/29/2020 0:33,20.043
air,5/29/2020 0:38,19.948
air,5/29/2020 0:43,19.853
air,5/29/2020 0:48,19.758
air,5/29/2020 0:53,19.662
air,5/29/2020 0:58,19.662
air,5/29/2020 1:03,19.567
air,5/29/2020 1:08,19.472
air,5/29/2020 1:13,19.377
air,5/29/2020 1:18,19.282
air,5/29/2020 1:23,19.282
air,5/29/2020 1:28,19.187
air,5/29/2020 1:33,19.092
air,5/29/2020 1:38,19.092
air,5/29/2020 1:43,18.996
air,5/29/2020 1:48,18.901
air,5/29/2020 1:53,18.806
air,5/29/2020 1:58,18.711
air,5/29/2020 2:03,18.711
air,5/29/2020 2:08,18.616
air,5/29/2020 2:13,18.521
air,5/29/2020 2:18,18.521
air,5/29/2020 2:23,18.426
air,5/29/2020 2:28,18.426
air,5/29/2020 2:33,18.331
air,5/29/2020 2:38,18.331
air,5/29/2020 2:43,18.236
air,5/29/2020 2:48,18.236
air,5/29/2020 2:53,18.14
air,5/29/2020 2:58,18.045
air,5/29/2020 3:03,18.045
air,5/29/2020 3:08,18.045
air,5/29/2020 3:13,17.95
air,5/29/2020 3:18,17.95
