location,datetime,temp_c
dish,5/28/2020 11:56,27.272
dish,5/28/2020 11:56,
dish,5/28/2020 12:01,27.665
dish,5/28/2020 12:06,27.173
dish,5/28/2020 12:11,26.781
dish,5/28/2020 12:16,26.488
dish,5/28/2020 12:21,26.195
dish,5/28/2020 12:26,26
dish,5/28/2020 12:31,25.805
dish,5/28/2020 12:36,25.708
dish,5/28/2020 12:41,25.513
dish,5/28/2020 12:46,25.416
dish,5/28/2020 12:51,25.319
dish,5/28/2020 12:56,25.222
dish,5/28/2020 13:01,25.222
dish,5/28/2020 13:06,25.125
dish,5/28/2020 13:11,25.028
dish,5/28/2020 13:16,25.028
dish,5/28/2020 13:21,24.931
dish,5/28/2020 13:26,24.931
dish,5/28/2020 13:31,24.931
dish,5/28/2020 13:36,24.835
dish,5/28/2020 13:41,24.835
dish,5/28/2020 13:46,24.835
dish,5/28/2020 13:51,24.835
dish,5/28/2020 13:56,24.738
dish,5/28/2020 14:01,24.738
dish,5/28/2020 14:06,24.738
dish,5/28/2020 14:11,24.738
dish,5/28/2020 14:16,24.641
dish,5/28/2020 14:21,25.805
dish,5/28/2020 14:26,27.075
dish,5/28/2020 14:31,27.862
dish,5/28/2020 14:36,28.555
dish,5/28/2020 14:41,29.053
dish,5/28/2020 14:46,29.552
dish,5/28/2020 14:51,29.953
dish,5/28/2020 14:56,30.457
dish,5/28/2020 15:01,30.963
dish,5/28/2020 15:06,31.472
dish,5/28/2020 15:11,32.086
dish,5/28/2020 15:16,32.704
dish,5/28/2020 15:21,33.222
dish,5/28/2020 15:26,33.43
dish,5/28/2020 15:31,34.058
dish,5/28/2020 15:36,34.268
dish,5/28/2020 15:41,34.691
dish,5/28/2020 15:46,34.796
dish,5/28/2020 15:51,34.479
dish,5/28/2020 15:56,34.479
dish,5/28/2020 16:01,34.691
dish,5/28/2020 16:06,34.796
dish,5/28/2020 16:11,34.796
dish,5/28/2020 16:16,34.796
dish,5/28/2020 16:21,34.691
dish,5/28/2020 16:26,34.585
dish,5/28/2020 16:31,34.479
dish,5/28/2020 16:36,34.374
dish,5/28/2020 16:41,34.374
