dishID,group,targettempC,contaminant,treatment,rep,spp,year,ExptLossday1,TrueMortday1,Nday1,ExptLossday2,TrueMortday2,Nday2,ExptLossday3,TrueMortday3,Nday3,ExptLossday4,TrueMortday4,Nday4,ExptLossday5,TrueMortday5,Nday5,ExptLossday6,TrueMortday6,Nday6,ExptLossday7,TrueMortday7,Nday7,Nrecordedday5,Nspinnerday5
g-15C-0000ng-R1,g,15,bif,0000,1,WS,2020,,,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,,0,50,,
g-15C-0000ng-R2,g,15,bif,0000,2,WS,2020,,,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,,0,50,,
g-15C-0000ng-R3,g,15,bif,0000,3,WS,2020,,,50,1,0,49,0,0,49,0,0,49,0,0,49,0,0,49,,0,49,,
g-15C-0000ng-R4,g,15,bif,0000,4,WS,2020,,,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,,0,50,,
g-15C-0005ng-R1,g,15,bif,0005,1,WS,2020,,,50,0,0,50,0,0,50,0,0,50,1,0,49,0,0,49,,0,49,,
g-15C-0005ng-R2,g,15,bif,0005,2,WS,2020,,,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,,0,50,,
g-15C-0005ng-R3,g,15,bif,0005,3,WS,2020,,,50,0,0,50,1,0,49,0,0,49,0,0,49,0,0,49,,0,49,,
g-15C-0005ng-R4,g,15,bif,0005,4,WS,2020,,,50,0,0,50,0,1,49,0,0,49,0,0,49,0,0,49,,0,49,,
g-15C-0100ng-R1,g,15,bif,0100,1,WS,2020,,,50,0,0,50,0,0,50,0,0,50,0,0,50,1,0,49,,0,49,,
g-15C-0100ng-R2,g,15,bif,0100,2,WS,2020,,,50,1,0,49,1,0,48,0,0,48,0,1,47,0,0,47,,0,47,,
g-15C-0100ng-R3,g,15,bif,0100,3,WS,2020,,,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,,0,50,,
g-15C-0100ng-R4,g,15,bif,0100,4,WS,2020,,,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,,0,50,,
g-15C-0500ng-R1,g,15,bif,0500,1,WS,2020,,,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,,0,50,,
g-15C-0500ng-R2,g,15,bif,0500,2,WS,2020,,,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,,0,50,,
g-15C-0500ng-R3,g,15,bif,0500,3,WS,2020,,,50,0,0,50,0,1,49,0,0,49,0,0,49,0,0,49,,0,49,,
g-15C-0500ng-R4,g,15,bif,0500,4,WS,2020,,,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,,0,50,,
g-15C-1000ng-R1,g,15,bif,1000,1,WS,2020,,,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,,0,50,,
g-15C-1000ng-R2,g,15,bif,1000,2,WS,2020,,,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,,0,50,,
g-15C-1000ng-R3,g,15,bif,1000,3,WS,2020,,,50,0,0,50,0,0,50,0,0,50,0,0,50,1,0,49,,0,49,,
g-15C-1000ng-R4,g,15,bif,1000,4,WS,2020,,,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,,0,50,,
g-15C-2000ng-R1,g,15,bif,2000,1,WS,2020,,,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,,0,50,,
g-15C-2000ng-R2,g,15,bif,2000,2,WS,2020,,,50,0,0,50,0,0,50,0,1,49,0,1,48,0,1,47,,0,47,,
g-15C-2000ng-R3,g,15,bif,2000,3,WS,2020,,,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,,0,50,,
g-15C-2000ng-R4,g,15,bif,2000,4,WS,2020,,,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,,0,50,,
